Operator,Torch,AscendC,PyPTO,Batches_Covered,Notes
relu,PASS,PASS,PASS,1-2-4-8-16-32-64,All bitwise
mul,PASS,PASS,PASS,1-2-4-8-16-32-64,All bitwise
add,PASS,PASS,PARTIAL_B1,1-2-4-8-16-32-64,PyPTO B=1 only persisted
div,PASS,PASS,BLOCKED,1-2-4-8-16-32,atol=1e-3 rtol=1e-3; PyPTO N/A
equal,PASS,PASS,BLOCKED,1-2-4-8-16-32-64,PyPTO BLOCKED_BACKEND_EQUAL
not,PASS,PASS(42/42),PASS,1-2-4-8-16-32-64,AscendC corrected: FAIL→PASS
or,PASS,PASS(49/49),PASS,1-2-4-8-16-32-64,PyPTO bitwise_or; correct for bool
where,PASS,PASS,BLOCKED,1-2-4-8-16-32-64,PyPTO BLOCKED_BACKEND_WHERE_SELECT
expand,PASS,PASS,PASS,1-2-4-8-16-32-64,All bitwise; PyPTO matches finite
transpose,PASS,PASS,PARTIAL_SMALL,1-2-4-8-16-32-64,PyPTO large BLOCKED_BACKEND
reduce_sum,62/70 PASS,21/70 PASS,21/70 PASS,1-2-4-8-16-32-64,FP16 accum precision limit
matmul,PASS,PASS,N/A,1-2-4-8-16-32,atol=0.01; PyPTO BLOCKED_BACKEND (FC4000)
